InvoiceNo,InvoiceDate,CustomerID,Country,ProductID,ProductDescription,Quantity,UnitPrice,TotalAmount
INV834967,2023-02-27,CUST0596,Australia,P1007,Yoga Mat,2,20.44,40.88
INV828833,2024-07-30,CUST0021,Brazil,P1007,Yoga Mat,4,20.24,80.96
INV967475,2023-06-08,CUST0745,France,P1011,Table Lamp,1,28.51,28.51
INV948139,2024-04-26,CUST0149,Brazil,P1003,Notebook Set,4,7.0,28.0
INV516546,2024-07-14,CUST0535,France,P1005,Office Chair,5,89.88,449.4
INV569649,2023-10-08,CUST0367,Usa,P1009,Backpack,5,43.44,217.2
INV552568,2024-07-03,CUST0678,Germany,P1010,Phone Case,2,10.22,20.44
INV804595,2023-01-01,CUST0351,Australia,P1001,Wireless Mouse,2,16.39,32.78
INV886546,2024-05-16,CUST0735,Brazil,P1013,Sticky Notes Pack,4,4.26,17.04
INV250357,2024-07-27,CUST0153,India,P1005,Office Chair,3,86.93,260.79
INV492266,2024-07-21,CUST0001,Germany,P1009,Backpack,1,45.25,45.25
INV993987,2023-11-06,CUST0517,Brazil,P1002,Bluetooth Speaker,4,33.79,135.16
INV261395,2023-01-01,CUST0349,France,P1007,Yoga Mat,1,19.6,19.6
INV478692,2024-10-01,CUST0616,Canada,P1014,Running Shoes,3,65.63,196.89
INV363619,2024-08-27,CUST0669,India,P1004,Desk Lamp,2,22.5,45.0
INV844141,2024-03-25,CUST0346,Canada,P1012,Gaming Headset,4,55.57,222.28
INV311579,2023-12-20,CUST0487,France,P1009,Backpack,2,44.93,89.86
INV647228,2024-10-18,CUST0037,Germany,P1008,Water Bottle,5,11.75,58.75
INV558471,2024-12-25,CUST0771,Brazil,P1013,Sticky Notes Pack,1,4.36,4.36
INV714461,2024-12-12,CUST0002,Australia,P1007,Yoga Mat,4,20.1,80.4
INV854531,2024-11-05,CUST0430,Australia,P1007,Yoga Mat,1,19.46,19.46
INV319459,2024-07-24,CUST0579,Brazil,P1014,Running Shoes,5,64.34,321.7
INV690487,2024-10-11,CUST0358,Germany,P1011,Table Lamp,1,27.74,27.74
INV483603,2024-12-12,CUST0091,Brazil,P1005,Office Chair,1,92.95,92.95
INV976494,2023-12-09,CUST0507,Brazil,P1013,Sticky Notes Pack,4,4.3,17.2
INV494760,2024-11-21,CUST0080,Uk,P1012,Gaming Headset,2,53.18,106.36
INV998472,2024-11-20,CUST0709,France,P1007,Yoga Mat,3,19.65,58.95
INV480264,2024-08-26,CUST0231,France,P1015,Winter Jacket,1,122.58,122.58
INV246266,2024-04-07,CUST0666,Canada,P1003,Notebook Set,4,6.96,27.84
INV902228,2024-09-14,CUST0546,Australia,P1008,Water Bottle,3,11.95,35.85
INV734424,2024-12-29,CUST0244,Uk,P1004,Desk Lamp,4,22.45,89.8
INV267544,2023-11-19,CUST0552,Germany,P1011,Table Lamp,1,27.42,27.42
INV957761,2023-11-02,CUST0293,India,P1015,Winter Jacket,2,114.61,229.22
INV647690,2024-01-14,CUST0103,India,P1003,Notebook Set,3,6.49,19.47
INV199701,2023-01-01,CUST0333,Canada,P1013,Sticky Notes Pack,4,4.07,16.28
INV109502,2024-03-09,CUST0538,France,P1008,Water Bottle,2,11.71,23.42
INV189407,2024-07-01,CUST0406,France,P1012,Gaming Headset,1,55.75,55.75
INV844182,2024-09-04,CUST0596,Australia,P1007,Yoga Mat,2,19.78,39.56
INV635873,2024-08-20,CUST0511,India,P1012,Gaming Headset,4,52.54,210.16
INV103797,2024-09-18,CUST0034,Canada,P1010,Phone Case,4,10.24,40.96
INV860748,2024-09-15,CUST0542,Australia,P1003,Notebook Set,5,6.58,32.9
INV274132,2023-03-09,CUST0457,Uk,P1005,Office Chair,4,90.01,360.04
INV344862,2023-01-01,CUST0453,Uk,P1010,Phone Case,2,10.49,20.98
INV236988,2023-11-18,CUST0688,Usa,P1002,Bluetooth Speaker,1,34.49,34.49
INV193817,2024-07-19,CUST0675,Canada,P1008,Water Bottle,4,11.79,47.16
INV577570,2023-12-30,CUST0310,Usa,P1004,Desk Lamp,2,21.62,43.24
INV162968,2023-11-14,CUST0478,France,P1010,Phone Case,1,10.22,10.22
INV568263,2024-12-10,CUST0029,Uk,P1003,Notebook Set,5,6.96,34.8
INV455298,2024-08-10,CUST0221,France,P1012,Gaming Headset,1,54.74,54.74
INV879416,2024-10-25,CUST0264,France,P1009,Backpack,5,43.17,215.85
INV340965,2024-08-22,CUST0231,France,P1004,Desk Lamp,1,22.32,22.32
INV292599,2024-05-02,CUST0192,Canada,P1007,Yoga Mat,4,20.61,82.44
INV655582,2023-01-01,CUST0499,France,P1008,Water Bottle,4,11.64,46.56
INV739719,2023-01-01,CUST0350,France,P1008,Water Bottle,1,11.1,11.1
INV409798,2024-12-12,CUST0342,Germany,P1006,Coffee Mug,2,8.56,17.12
INV645311,2024-11-19,CUST0692,Canada,P1012,Gaming Headset,1,52.39,52.39
INV162289,2024-02-22,CUST0758,Uk,P1012,Gaming Headset,3,52.7,158.1
INV253743,2023-01-01,CUST0694,Germany,P1010,Phone Case,3,9.86,29.58
INV929771,2024-10-31,CUST0078,Uk,P1013,Sticky Notes Pack,1,4.08,4.08
INV502838,2023-01-01,CUST0622,France,P1012,Gaming Headset,4,53.6,214.4
INV482532,2023-05-09,CUST0357,Canada,P1005,Office Chair,2,86.28,172.56
INV879035,2024-06-14,CUST0745,France,P1014,Running Shoes,4,65.93,263.72
INV247309,2024-08-28,CUST0479,Germany,P1009,Backpack,3,46.18,138.54
INV912284,2024-05-02,CUST0258,Uk,P1014,Running Shoes,1,68.01,68.01
INV316167,2024-04-20,CUST0240,France,P1009,Backpack,2,46.73,93.46
INV337165,2024-08-08,CUST0666,Canada,P1004,Desk Lamp,3,22.06,66.18
INV812032,2024-07-20,CUST0177,France,P1002,Bluetooth Speaker,3,33.4,100.2
INV248934,2023-12-31,CUST0655,Uk,P1011,Table Lamp,1,28.67,28.67
INV687969,2023-01-01,CUST0117,Germany,P1006,Coffee Mug,3,8.42,25.26
INV754516,2024-09-18,CUST0225,Germany,P1012,Gaming Headset,5,57.29,286.45
INV847167,2024-01-14,CUST0106,Australia,P1005,Office Chair,3,92.27,276.81
INV803678,2024-12-01,CUST0555,India,P1006,Coffee Mug,3,8.56,25.68
INV121707,2024-11-24,CUST0621,Usa,P1015,Winter Jacket,2,121.48,242.96
INV264066,2024-06-02,CUST0149,Brazil,P1008,Water Bottle,5,11.72,58.6
INV458801,2024-08-17,CUST0644,Germany,P1009,Backpack,5,43.03,215.15
INV304214,2024-10-15,CUST0691,Germany,P1013,Sticky Notes Pack,5,4.11,20.55
INV162249,2024-12-23,CUST0693,France,P1001,Wireless Mouse,2,15.29,30.58
INV238354,2024-06-02,CUST0114,Brazil,P1005,Office Chair,5,87.93,439.65
INV483014,2023-10-03,CUST0169,Brazil,P1005,Office Chair,2,90.23,180.46
INV381552,2024-11-22,CUST0170,Uk,P1015,Winter Jacket,5,122.67,613.35
INV236521,2024-11-09,CUST0331,Uk,P1012,Gaming Headset,5,53.15,265.75
INV698866,2023-05-02,CUST0198,Uk,P1001,Wireless Mouse,3,15.29,45.87
INV260978,2024-11-19,CUST0186,India,P1014,Running Shoes,4,63.85,255.4
INV988640,2024-10-18,CUST0774,India,P1007,Yoga Mat,2,20.19,40.38
INV360888,2024-07-29,CUST0193,Uk,P1011,Table Lamp,3,28.37,85.11
INV936773,2024-04-08,CUST0051,Germany,P1003,Notebook Set,3,6.6,19.8
INV461030,2023-09-20,CUST0518,Germany,P1013,Sticky Notes Pack,2,4.09,8.18
INV479198,2024-11-09,CUST0343,Usa,P1002,Bluetooth Speaker,1,34.15,34.15
INV851343,2024-10-27,CUST0082,Australia,P1008,Water Bottle,1,11.86,11.86
INV665037,2023-01-01,CUST0176,Usa,P1011,Table Lamp,3,26.15,78.45
INV926862,2023-03-24,CUST0389,Uk,P1012,Gaming Headset,5,54.17,270.85
INV422709,2023-11-07,CUST0555,India,P1011,Table Lamp,4,26.7,106.8
INV915953,2024-05-29,CUST0349,France,P1008,Water Bottle,2,11.17,22.34
INV525493,2024-10-07,CUST0238,Germany,P1013,Sticky Notes Pack,4,4.38,17.52
INV246609,2024-11-05,CUST0170,Uk,P1009,Backpack,5,46.45,232.25
INV266421,2024-06-29,CUST0021,Brazil,P1010,Phone Case,3,10.21,30.63
INV371093,2023-09-05,CUST0378,India,P1010,Phone Case,2,9.75,19.5
INV567958,2024-10-08,CUST0005,Brazil,P1005,Office Chair,5,89.22,446.1
INV563848,2024-11-29,CUST0349,France,P1008,Water Bottle,5,12.02,60.1
INV675202,2024-12-26,CUST0208,Usa,P1008,Water Bottle,1,11.17,11.17
INV555136,2024-10-11,CUST0026,Canada,P1001,Wireless Mouse,3,15.98,47.94
INV652679,2023-12-08,CUST0435,India,P1008,Water Bottle,2,11.91,23.82
INV911924,2024-01-14,CUST0491,Australia,P1004,Desk Lamp,4,22.87,91.48
INV939459,2024-10-05,CUST0599,Usa,P1015,Winter Jacket,1,123.63,123.63
INV145248,2024-10-13,CUST0512,Canada,P1012,Gaming Headset,1,53.58,53.58
INV546623,2023-03-08,CUST0355,France,P1001,Wireless Mouse,3,15.55,46.65
INV245460,2024-12-20,CUST0093,France,P1001,Wireless Mouse,3,16.39,49.17
INV333667,2024-10-22,CUST0666,Canada,P1013,Sticky Notes Pack,3,4.08,12.24
INV536419,2024-12-20,CUST0636,Australia,P1015,Winter Jacket,4,116.96,467.84
INV892226,2024-08-23,CUST0260,Canada,P1006,Coffee Mug,4,8.59,34.36
INV443061,2023-01-01,CUST0212,India,P1002,Bluetooth Speaker,1,35.63,35.63
INV963118,2024-04-21,CUST0266,Australia,P1005,Office Chair,1,86.63,86.63
INV506086,2024-12-13,CUST0170,Uk,P1002,Bluetooth Speaker,4,35.83,143.32
INV640717,2024-03-07,CUST0622,France,P1014,Running Shoes,5,63.17,315.85
INV701637,2024-01-08,CUST0400,Uk,P1008,Water Bottle,1,11.71,11.71
INV511306,2023-03-10,CUST0637,France,P1013,Sticky Notes Pack,1,4.27,4.27
INV489066,2023-01-01,CUST0301,Australia,P1001,Wireless Mouse,1,15.35,15.35
INV385693,2024-02-12,CUST0615,Germany,P1001,Wireless Mouse,2,16.74,33.48
INV663511,2024-11-20,CUST0143,Germany,P1010,Phone Case,1,10.43,10.43
INV184426,2024-07-03,CUST0541,Usa,P1006,Coffee Mug,1,8.41,8.41
INV581296,2024-09-08,CUST0396,Usa,P1005,Office Chair,2,85.68,171.36
INV760519,2024-10-23,CUST0597,France,P1013,Sticky Notes Pack,5,4.45,22.25
INV915013,2024-12-28,CUST0331,Uk,P1015,Winter Jacket,3,115.28,345.84
INV908463,2024-10-01,CUST0465,India,P1011,Table Lamp,4,26.78,107.12
INV416738,2024-07-07,CUST0683,Canada,P1011,Table Lamp,3,27.92,83.76
INV517651,2024-07-08,CUST0310,Usa,P1010,Phone Case,5,10.44,52.2
INV995782,2024-08-24,CUST0331,Uk,P1010,Phone Case,4,9.82,39.28
INV257290,2023-01-01,CUST0570,Brazil,P1014,Running Shoes,1,63.72,63.72
INV586018,2023-01-01,CUST0665,India,P1014,Running Shoes,3,64.5,193.5
INV729861,2023-01-01,CUST0652,Uk,P1008,Water Bottle,4,12.07,48.28
INV267753,2024-03-05,CUST0067,Uk,P1010,Phone Case,1,10.24,10.24
INV121930,2024-07-26,CUST0121,Canada,P1009,Backpack,1,46.35,46.35
INV453633,2024-11-05,CUST0666,Canada,P1002,Bluetooth Speaker,2,35.8,71.6
INV311013,2024-08-04,CUST0437,France,P1015,Winter Jacket,1,125.5,125.5
INV890032,2024-09-20,CUST0310,Usa,P1009,Backpack,4,46.32,185.28
INV749673,2024-02-09,CUST0546,Australia,P1010,Phone Case,3,9.74,29.22
INV138344,2024-11-29,CUST0721,Brazil,P1013,Sticky Notes Pack,2,4.19,8.38
INV903894,2024-10-26,CUST0554,Uk,P1011,Table Lamp,3,26.19,78.57
INV792103,2024-08-28,CUST0446,Canada,P1008,Water Bottle,4,11.24,44.96
INV408349,2024-03-09,CUST0140,Australia,P1003,Notebook Set,4,6.71,26.84
INV354884,2023-12-18,CUST0703,Canada,P1015,Winter Jacket,1,124.16,124.16
INV695942,2023-01-01,CUST0001,Germany,P1003,Notebook Set,3,7.07,21.21
INV106863,2024-09-14,CUST0259,Usa,P1013,Sticky Notes Pack,5,4.45,22.25
INV359710,2023-08-27,CUST0389,Uk,P1004,Desk Lamp,2,22.12,44.24
INV239764,2024-04-01,CUST0304,France,P1009,Backpack,5,45.9,229.5
INV448226,2024-12-03,CUST0478,France,P1009,Backpack,5,44.39,221.95
INV655251,2024-05-22,CUST0409,Brazil,P1015,Winter Jacket,5,116.31,581.55
INV419161,2024-10-09,CUST0486,Usa,P1009,Backpack,4,44.4,177.6
INV877240,2024-09-30,CUST0657,Uk,P1008,Water Bottle,3,11.01,33.03
INV714492,2024-05-08,CUST0265,India,P1012,Gaming Headset,1,55.06,55.06
INV916498,2024-05-03,CUST0103,India,P1011,Table Lamp,2,27.25,54.5
INV355363,2024-08-31,CUST0761,Brazil,P1002,Bluetooth Speaker,2,33.49,66.98
INV793771,2024-12-23,CUST0767,India,P1013,Sticky Notes Pack,3,4.27,12.81
INV865192,2024-03-30,CUST0225,Germany,P1006,Coffee Mug,3,8.36,25.08
INV969208,2024-08-16,CUST0265,India,P1001,Wireless Mouse,5,16.5,82.5
INV104326,2024-07-19,CUST0689,Usa,P1002,Bluetooth Speaker,2,34.3,68.6
INV402676,2024-07-27,CUST0725,Uk,P1013,Sticky Notes Pack,4,4.2,16.8
INV199808,2024-11-16,CUST0732,Germany,P1014,Running Shoes,3,67.64,202.92
INV115738,2024-10-10,CUST0440,Brazil,P1008,Water Bottle,3,11.21,33.63
INV748152,2024-12-15,CUST0439,France,P1001,Wireless Mouse,5,15.59,77.95
INV272056,2023-10-28,CUST0003,Australia,P1007,Yoga Mat,4,20.68,82.72
INV258474,2024-08-06,CUST0462,France,P1011,Table Lamp,5,26.51,132.55
INV643233,2024-08-12,CUST0315,Germany,P1001,Wireless Mouse,1,15.54,15.54
INV422071,2024-08-16,CUST0580,France,P1011,Table Lamp,5,28.76,143.8
INV553274,2023-08-08,CUST0580,France,P1010,Phone Case,4,9.91,39.64
INV227976,2023-06-22,CUST0436,Brazil,P1009,Backpack,4,44.42,177.68
INV399808,2024-12-14,CUST0489,Brazil,P1002,Bluetooth Speaker,4,33.01,132.04
INV738929,2023-05-01,CUST0541,Usa,P1010,Phone Case,5,9.69,48.45
INV546623,2023-03-08,CUST0355,France,P1013,Sticky Notes Pack,4,4.26,17.04
INV207186,2023-01-01,CUST0692,Canada,P1008,Water Bottle,5,11.88,59.4
INV173885,2024-04-21,CUST0454,Canada,P1010,Phone Case,2,9.93,19.86
INV311025,2024-07-21,CUST0345,France,P1002,Bluetooth Speaker,3,34.9,104.7
INV229514,2024-12-15,CUST0536,France,P1001,Wireless Mouse,2,16.63,33.26
INV130621,2024-09-04,CUST0376,Canada,P1012,Gaming Headset,3,54.96,164.88
INV840625,2023-11-04,CUST0724,Brazil,P1005,Office Chair,4,91.35,365.4
INV260978,2024-11-19,CUST0186,India,P1002,Bluetooth Speaker,3,33.49,100.47
INV971486,2024-10-08,CUST0175,Canada,P1015,Winter Jacket,3,118.99,356.97
INV772572,2024-10-09,CUST0498,Brazil,P1012,Gaming Headset,2,55.05,110.1
INV874941,2024-12-15,CUST0587,Canada,P1001,Wireless Mouse,2,16.36,32.72
INV315749,2024-02-15,CUST0761,Brazil,P1015,Winter Jacket,4,114.17,456.68
INV553178,2024-06-22,CUST0472,Brazil,P1010,Phone Case,4,10.19,40.76
INV220251,2024-07-16,CUST0052,Australia,P1008,Water Bottle,1,11.6,11.6
INV690487,2024-10-11,CUST0358,Germany,P1013,Sticky Notes Pack,2,4.37,8.74
INV814340,2024-12-04,CUST0567,Uk,P1003,Notebook Set,3,7.01,21.03
INV518096,2024-03-04,CUST0298,Canada,P1008,Water Bottle,2,11.65,23.3
INV608249,2023-01-01,CUST0006,France,P1010,Phone Case,1,9.91,9.91
INV488199,2024-09-27,CUST0406,France,P1010,Phone Case,3,9.5,28.5
INV753872,2024-08-18,CUST0024,Brazil,P1011,Table Lamp,3,27.24,81.72
INV359155,2024-03-24,CUST0036,Brazil,P1009,Backpack,2,44.35,88.7
INV455977,2024-02-28,CUST0580,France,P1015,Winter Jacket,4,115.54,462.16
INV174457,2024-12-22,CUST0394,Canada,P1015,Winter Jacket,4,114.81,459.24
INV244162,2024-10-21,CUST0214,Australia,P1014,Running Shoes,5,68.08,340.4
INV656212,2024-01-12,CUST0103,India,P1006,Coffee Mug,1,8.62,8.62
INV278824,2024-09-20,CUST0397,Australia,P1008,Water Bottle,3,11.26,33.78
INV750482,2024-01-29,CUST0665,India,P1015,Winter Jacket,1,122.12,122.12
INV106863,2024-09-14,CUST0259,Usa,P1006,Coffee Mug,1,8.35,8.35
INV488079,2024-12-25,CUST0655,Uk,P1007,Yoga Mat,1,20.33,20.33
INV437528,2024-03-24,CUST0087,Australia,P1003,Notebook Set,5,6.65,33.25
INV289995,2024-03-31,CUST0056,Australia,P1014,Running Shoes,4,65.53,262.12
INV857061,2024-06-18,CUST0288,Brazil,P1011,Table Lamp,1,27.35,27.35
INV692146,2024-07-15,CUST0493,Canada,P1004,Desk Lamp,3,21.75,65.25
INV633970,2024-08-08,CUST0580,France,P1003,Notebook Set,1,7.08,7.08
INV898378,2024-05-14,CUST0059,Australia,P1011,Table Lamp,3,26.53,79.59
INV165302,2023-01-01,CUST0289,France,P1007,Yoga Mat,5,20.5,102.5
INV806626,2024-11-12,CUST0136,Canada,P1001,Wireless Mouse,3,16.07,48.21
INV919131,2024-09-22,CUST0611,India,P1015,Winter Jacket,4,120.87,483.48
INV514668,2023-01-01,CUST0358,Germany,P1015,Winter Jacket,1,125.77,125.77
INV169994,2024-12-12,CUST0623,India,P1008,Water Bottle,3,11.04,33.12
INV941261,2024-08-11,CUST0701,Australia,P1003,Notebook Set,3,7.06,21.18
INV529014,2024-12-16,CUST0076,India,P1011,Table Lamp,4,26.87,107.48
INV878680,2024-08-01,CUST0086,France,P1010,Phone Case,5,10.16,50.8
INV307245,2024-03-01,CUST0758,Uk,P1006,Coffee Mug,1,8.6,8.6
INV561595,2024-02-03,CUST0614,Brazil,P1012,Gaming Headset,2,55.24,110.48
INV919606,2024-07-22,CUST0120,France,P1004,Desk Lamp,5,22.68,113.4
INV326110,2024-08-31,CUST0155,India,P1003,Notebook Set,1,7.09,7.09
INV342775,2024-07-05,CUST0678,Germany,P1011,Table Lamp,5,27.39,136.95
INV406924,2023-01-01,CUST0665,India,P1011,Table Lamp,4,27.73,110.92
INV227642,2024-08-06,CUST0406,France,P1001,Wireless Mouse,4,16.08,64.32
INV831470,2024-07-07,CUST0248,Australia,P1002,Bluetooth Speaker,4,34.5,138.0
INV952762,2024-08-08,CUST0159,France,P1005,Office Chair,3,91.78,275.34
INV985684,2024-01-16,CUST0699,Germany,P1010,Phone Case,5,9.58,47.9
INV632840,2023-02-25,CUST0667,Usa,P1005,Office Chair,5,94.07,470.35
INV173586,2024-12-21,CUST0761,Brazil,P1002,Bluetooth Speaker,5,34.17,170.85
INV572939,2024-07-12,CUST0245,Germany,P1002,Bluetooth Speaker,1,36.18,36.18
INV747704,2024-05-22,CUST0371,Australia,P1010,Phone Case,2,9.71,19.42
INV803910,2023-06-27,CUST0591,India,P1003,Notebook Set,1,6.54,6.54
INV512063,2024-06-14,CUST0155,India,P1012,Gaming Headset,1,53.54,53.54
INV852735,2024-06-15,CUST0250,Uk,P1006,Coffee Mug,5,8.34,41.7
INV919402,2024-08-20,CUST0436,Brazil,P1007,Yoga Mat,1,20.44,20.44
INV889121,2023-01-01,CUST0153,India,P1013,Sticky Notes Pack,2,4.08,8.16
INV191307,2024-12-17,CUST0550,Australia,P1014,Running Shoes,5,67.43,337.15
INV809124,2024-06-15,CUST0628,Usa,P1004,Desk Lamp,4,21.89,87.56
INV659823,2024-04-07,CUST0169,Brazil,P1002,Bluetooth Speaker,2,34.71,69.42
INV589708,2024-08-02,CUST0600,France,P1014,Running Shoes,1,67.66,67.66
INV309886,2023-01-01,CUST0153,India,P1008,Water Bottle,5,11.83,59.15
INV988871,2024-05-25,CUST0588,France,P1012,Gaming Headset,5,57.33,286.65
INV358945,2024-01-23,CUST0592,Canada,P1010,Phone Case,1,9.77,9.77
INV358474,2024-10-25,CUST0778,Uk,P1014,Running Shoes,2,68.22,136.44
INV905190,2024-08-29,CUST0686,Canada,P1014,Running Shoes,5,66.46,332.3
INV146258,2024-11-20,CUST0090,Canada,P1005,Office Chair,2,91.78,183.56
INV942318,2024-01-13,CUST0026,Canada,P1007,Yoga Mat,2,19.28,38.56
INV872895,2023-01-01,CUST0004,India,P1013,Sticky Notes Pack,3,4.07,12.21
INV365089,2024-12-28,CUST0620,Uk,P1014,Running Shoes,5,65.54,327.7
INV838316,2024-10-25,CUST0590,Brazil,P1014,Running Shoes,2,63.06,126.12
INV759314,2024-11-29,CUST0192,Canada,P1010,Phone Case,2,10.22,20.44
INV253666,2024-08-25,CUST0632,France,P1005,Office Chair,1,91.51,91.51
INV151440,2024-05-07,CUST0373,Brazil,P1011,Table Lamp,1,26.48,26.48
INV276226,2023-09-24,CUST0684,Usa,P1014,Running Shoes,4,63.24,252.96
INV806457,2023-10-19,CUST0431,Germany,P1012,Gaming Headset,1,56.07,56.07
INV616356,2024-08-15,CUST0683,Canada,P1011,Table Lamp,5,27.17,135.85
INV126098,2023-12-06,CUST0596,Australia,P1012,Gaming Headset,2,55.04,110.08
INV119809,2024-08-14,CUST0264,France,P1006,Coffee Mug,4,8.29,33.16
INV673963,2024-10-13,CUST0392,Germany,P1005,Office Chair,2,87.43,174.86
INV860312,2023-01-01,CUST0622,France,P1011,Table Lamp,1,28.43,28.43
INV695578,2024-03-16,CUST0266,Australia,P1010,Phone Case,2,9.71,19.42
INV207003,2024-10-17,CUST0256,France,P1006,Coffee Mug,2,8.3,16.6
INV609642,2024-06-30,CUST0436,Brazil,P1002,Bluetooth Speaker,1,33.19,33.19
INV510101,2024-08-17,CUST0345,France,P1012,Gaming Headset,1,56.2,56.2
INV801182,2024-05-28,CUST0675,Canada,P1014,Running Shoes,5,68.13,340.65
INV457795,2024-05-10,CUST0281,Canada,P1005,Office Chair,3,88.18,264.54
INV673497,2024-11-11,CUST0491,Australia,P1006,Coffee Mug,3,8.31,24.93
INV390009,2023-09-18,CUST0705,Australia,P1012,Gaming Headset,4,54.86,219.44
INV749265,2023-08-20,CUST0425,Brazil,P1014,Running Shoes,2,63.42,126.84
INV675584,2024-06-16,CUST0098,Australia,P1009,Backpack,2,43.88,87.76
INV792549,2024-11-17,CUST0073,Canada,P1007,Yoga Mat,1,20.42,20.42
INV414167,2023-08-05,CUST0555,India,P1010,Phone Case,4,9.53,38.12
INV187106,2024-12-06,CUST0631,France,P1008,Water Bottle,4,11.59,46.36
INV191480,2023-01-01,CUST0590,Brazil,P1006,Coffee Mug,4,8.39,33.56
INV211780,2023-01-01,CUST0176,Usa,P1001,Wireless Mouse,3,16.75,50.25
INV765281,2024-08-09,CUST0548,Brazil,P1009,Backpack,3,45.77,137.31
INV479078,2024-06-11,CUST0434,Usa,P1002,Bluetooth Speaker,5,35.78,178.9
INV691898,2024-08-11,CUST0055,Brazil,P1008,Water Bottle,3,11.38,34.14
INV638325,2024-03-25,CUST0665,India,P1006,Coffee Mug,4,8.05,32.2
INV932775,2024-11-10,CUST0647,Germany,P1010,Phone Case,2,9.94,19.88
INV407702,2024-06-08,CUST0771,Brazil,P1002,Bluetooth Speaker,2,34.79,69.58
INV975335,2023-09-28,CUST0113,Germany,P1009,Backpack,2,44.98,89.96
INV250357,2024-07-27,CUST0153,India,P1015,Winter Jacket,1,114.56,114.56
INV238577,2023-12-08,CUST0517,Brazil,P1015,Winter Jacket,5,114.23,571.15
INV481282,2024-09-16,CUST0399,France,P1008,Water Bottle,1,12.01,12.01
INV499327,2024-08-07,CUST0236,Australia,P1015,Winter Jacket,1,118.04,118.04
INV617841,2024-10-22,CUST0492,Usa,P1003,Notebook Set,5,6.82,34.1
INV187154,2024-06-22,CUST0533,Usa,P1012,Gaming Headset,1,56.42,56.42
