CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Sum,Segment,Country
CUST0041,9,2,312.7,5,1,1,511,7,New Customers,France
CUST0042,108,7,2064.22,2,4,4,244,10,At Risk,Uk
CUST0043,59,3,1005.43,3,2,3,323,8,Needs Attention,France
CUST0044,375,4,1215.44,1,3,3,133,7,At Risk,France
CUST0045,59,3,1037.79,3,2,3,323,8,Needs Attention,Uk
CUST0046,107,5,1489.01,2,3,4,234,9,At Risk,Uk
CUST0047,46,2,312.21,3,1,1,311,5,Promising,Brazil
CUST0048,71,3,697.34,3,2,2,322,7,Promising,Australia
CUST0049,104,4,719.0,3,3,2,332,8,Needs Attention,France
CUST0050,98,5,547.1,3,3,2,332,8,Needs Attention,Canada
CUST0051,267,4,310.01,1,3,1,131,5,Needs Attention,Germany
CUST0052,168,9,2081.63,1,4,4,144,9,At Risk,Australia
CUST0053,16,2,561.83,5,1,2,512,8,New Customers,India
CUST0054,100,4,606.03,3,3,2,332,8,Needs Attention,Canada
CUST0055,16,11,3003.26,5,5,5,555,15,Champions,Brazil
CUST0056,125,10,3547.74,2,4,5,245,11,At Risk,Australia
CUST0057,35,13,3024.46,4,5,5,455,14,Champions,Canada
CUST0058,424,5,1408.91,1,3,3,133,7,At Risk,Brazil
CUST0059,125,3,810.81,2,2,2,222,6,Lost,Australia
CUST0060,27,1,196.91,4,1,1,411,6,New Customers,India
CUST0061,100,4,1117.62,3,3,3,333,9,Loyal Customers,Usa
CUST0062,145,3,100.54,2,2,1,221,5,Lost,Uk
CUST0063,404,4,1201.13,1,3,3,133,7,At Risk,Germany
CUST0064,7,13,3201.7,5,5,5,555,15,Champions,Brazil
CUST0065,60,2,315.9,3,1,1,311,5,Promising,Usa
CUST0066,104,6,1519.06,3,4,4,344,11,Loyal Customers,Brazil
CUST0067,249,2,435.07,1,1,1,111,3,Lost,Uk
CUST0068,161,9,1628.23,2,4,4,244,10,At Risk,France
CUST0069,48,3,613.17,3,2,2,322,7,Promising,Canada
CUST0070,369,2,206.06,1,1,1,111,3,Lost,Uk
CUST0071,19,13,1673.43,4,5,4,454,13,Champions,Germany
CUST0072,15,14,3998.83,5,5,5,555,15,Champions,Germany
CUST0073,44,3,1022.53,3,2,3,323,8,Needs Attention,Canada
CUST0074,11,1,53.25,5,1,1,511,7,New Customers,Canada
CUST0075,25,2,463.51,4,1,2,412,7,New Customers,Canada
CUST0076,15,23,6303.26,5,5,5,555,15,Champions,India
CUST0077,287,2,725.76,1,1,2,112,4,Lost,France
CUST0078,61,5,1004.78,3,3,3,333,9,Loyal Customers,Uk
CUST0079,92,3,251.4,3,2,1,321,6,Promising,Germany
CUST0080,40,8,2634.47,3,4,4,344,11,Loyal Customers,Uk
CUST0081,106,3,1072.25,3,2,3,323,8,Needs Attention,Germany
CUST0082,38,10,3922.09,3,4,5,345,12,Loyal Customers,Australia
CUST0083,11,1,279.16,5,1,1,511,7,New Customers,Canada
CUST0084,24,2,460.17,4,1,2,412,7,New Customers,Germany
CUST0085,439,2,348.44,1,1,1,111,3,Lost,Usa
CUST0086,112,7,990.28,2,4,3,243,9,At Risk,France
CUST0087,122,10,2136.42,2,4,4,244,10,At Risk,Australia
CUST0088,151,8,2442.7,2,4,4,244,10,At Risk,Germany
CUST0089,135,5,1402.92,2,3,3,233,8,At Risk,Usa
CUST0090,39,11,5095.52,3,5,5,355,13,Loyal Customers,Canada
CUST0091,19,10,3295.87,4,4,5,445,13,Champions,Brazil
CUST0092,145,5,831.14,2,3,2,232,7,Needs Attention,Australia
CUST0093,11,1,309.9,5,1,1,511,7,New Customers,France
CUST0094,214,3,690.45,1,2,2,122,5,Lost,France
CUST0095,83,5,1223.16,3,3,3,333,9,Loyal Customers,Germany
CUST0096,2,26,6676.01,5,5,5,555,15,Champions,Uk
CUST0097,89,5,644.35,3,3,2,332,8,Needs Attention,Brazil
CUST0098,6,28,8401.52,5,5,5,555,15,Champions,Australia
CUST0099,116,8,2708.65,2,4,5,245,11,At Risk,Brazil
CUST0100,115,7,1717.7,2,4,4,244,10,At Risk,Usa
CUST0101,315,3,937.6,1,2,3,123,6,Needs Attention,India
CUST0102,129,4,1155.42,2,3,3,233,8,At Risk,Usa
CUST0103,2,28,6021.65,5,5,5,555,15,Champions,India
CUST0104,18,15,3361.06,4,5,5,455,14,Champions,India
CUST0105,269,2,284.2,1,1,1,111,3,Lost,Usa
CUST0106,247,3,410.19,1,2,1,121,4,Lost,Australia
CUST0107,9,10,2124.89,5,4,4,544,13,Champions,France
CUST0108,279,3,580.9,1,2,2,122,5,Lost,Germany
CUST0109,35,8,2131.23,4,4,4,444,12,Champions,Australia
CUST0110,167,10,2487.13,1,4,4,144,9,At Risk,Uk
CUST0111,82,3,656.43,3,2,2,322,7,Promising,Canada
CUST0112,132,2,34.48,2,1,1,211,4,Lost,Germany
CUST0113,397,4,1227.62,1,3,3,133,7,At Risk,Germany
CUST0114,158,6,2803.38,2,4,5,245,11,At Risk,Brazil
CUST0115,74,5,758.78,3,3,2,332,8,Needs Attention,Usa
CUST0116,342,3,853.92,1,2,2,122,5,Lost,India
CUST0117,15,20,4259.67,5,5,5,555,15,Champions,Germany
CUST0118,296,5,838.1,1,3,2,132,6,Needs Attention,Brazil
CUST0119,444,3,569.56,1,2,2,122,5,Lost,Usa
CUST0120,162,8,2457.72,2,4,4,244,10,At Risk,France
CUST0121,158,9,1571.95,2,4,4,244,10,At Risk,Canada
CUST0122,19,2,377.71,4,1,1,411,6,New Customers,Germany
CUST0123,17,1,318.09,4,1,1,411,6,New Customers,Canada
CUST0124,53,4,1462.73,3,3,4,334,10,Loyal Customers,Australia
CUST0125,226,3,669.64,1,2,2,122,5,Lost,Brazil
CUST0126,33,10,2049.03,4,4,4,444,12,Champions,Brazil
CUST0127,140,5,1289.81,2,3,3,233,8,At Risk,India
CUST0128,84,2,220.09,3,1,1,311,5,Promising,Germany
CUST0129,477,3,440.05,1,2,1,121,4,Lost,India
CUST0130,44,13,3771.91,3,5,5,355,13,Loyal Customers,Germany
CUST0131,4,1,198.14,5,1,1,511,7,New Customers,Usa
CUST0132,1,2,355.48,5,1,1,511,7,New Customers,Australia
CUST0133,108,2,55.32,2,1,1,211,4,Lost,Germany
CUST0134,103,5,916.73,3,3,3,333,9,Loyal Customers,Usa
CUST0135,288,3,716.32,1,2,2,122,5,Lost,India
CUST0136,9,14,2441.32,5,5,4,554,14,Champions,Canada
CUST0137,39,8,1686.4,3,4,4,344,11,Loyal Customers,France
CUST0138,28,2,510.55,4,1,2,412,7,New Customers,Australia
CUST0139,32,9,2262.84,4,4,4,444,12,Champions,India
CUST0140,171,9,1706.58,1,4,4,144,9,At Risk,Australia
CUST0141,3,1,535.42,5,1,2,512,8,New Customers,Germany
CUST0142,16,11,4686.04,5,5,5,555,15,Champions,Germany
CUST0143,34,10,2703.42,4,4,5,445,13,Champions,Germany
CUST0144,17,2,530.52,4,1,2,412,7,New Customers,Uk
CUST0145,328,2,506.29,1,1,2,112,4,Lost,Australia
CUST0146,13,1,225.58,5,1,1,511,7,New Customers,Uk
CUST0147,97,11,4318.76,3,5,5,355,13,Loyal Customers,Germany
CUST0148,26,2,824.78,4,1,2,412,7,New Customers,Usa
CUST0149,17,9,1769.69,4,4,4,444,12,Champions,Brazil
CUST0150,33,8,2894.22,4,4,5,445,13,Champions,Germany
CUST0151,3,1,160.39,5,1,1,511,7,New Customers,Uk
CUST0152,42,13,3873.0,3,5,5,355,13,Loyal Customers,Uk
CUST0153,16,25,7123.68,5,5,5,555,15,Champions,India
CUST0154,50,3,148.1,3,2,1,321,6,Promising,Germany
CUST0155,122,8,2740.28,2,4,5,245,11,At Risk,India
CUST0156,4,2,272.38,5,1,1,511,7,New Customers,Canada
CUST0157,149,5,1116.73,2,3,3,233,8,At Risk,Australia
CUST0158,20,2,90.3,4,1,1,411,6,New Customers,Brazil
CUST0159,25,8,1687.45,4,4,4,444,12,Champions,France
CUST0160,6,1,184.12,5,1,1,511,7,New Customers,Germany
CUST0161,258,4,995.73,1,3,3,133,7,At Risk,Germany
CUST0162,28,1,185.44,4,1,1,411,6,New Customers,Germany
CUST0163,7,1,284.09,5,1,1,511,7,New Customers,Australia
CUST0164,35,2,585.96,4,1,2,412,7,New Customers,France
CUST0165,90,6,1086.77,3,4,3,343,10,Loyal Customers,Usa
CUST0166,229,4,1152.59,1,3,3,133,7,At Risk,Usa
CUST0167,58,3,845.69,3,2,2,322,7,Promising,Usa
CUST0168,10,2,871.93,5,1,2,512,8,New Customers,Australia
CUST0169,160,10,2990.99,2,4,5,245,11,At Risk,Brazil
CUST0170,18,13,3719.52,4,5,5,455,14,Champions,Uk
CUST0171,146,3,321.45,2,2,1,221,5,Lost,Australia
CUST0172,63,5,2752.53,3,3,5,335,11,Loyal Customers,Germany
CUST0173,209,3,889.59,1,2,3,123,6,Needs Attention,France
CUST0174,33,8,1842.54,4,4,4,444,12,Champions,India
CUST0175,33,5,2717.64,4,3,5,435,12,Loyal Customers,Canada
CUST0176,7,20,4047.93,5,5,5,555,15,Champions,Usa
CUST0177,164,11,1611.37,2,5,4,254,11,At Risk,France
CUST0178,64,5,1298.58,3,3,3,333,9,Loyal Customers,Australia
CUST0179,17,1,185.33,4,1,1,411,6,New Customers,Germany
CUST0180,79,3,300.72,3,2,1,321,6,Promising,India
CUST0181,136,2,184.92,2,1,1,211,4,Lost,India
CUST0182,236,2,464.34,1,1,2,112,4,Lost,Brazil
CUST0183,19,2,629.59,4,1,2,412,7,New Customers,Uk
CUST0184,142,2,373.87,2,1,1,211,4,Lost,Usa
CUST0185,15,1,142.8,5,1,1,511,7,New Customers,Canada
CUST0186,42,2,1422.32,3,1,3,313,7,Needs Attention,India
CUST0187,18,12,3014.79,4,5,5,455,14,Champions,India
CUST0188,141,3,1454.57,2,2,3,223,7,Needs Attention,France
CUST0189,47,3,852.39,3,2,2,322,7,Promising,Uk
CUST0190,5,18,4428.95,5,5,5,555,15,Champions,Canada
CUST0191,322,5,1270.26,1,3,3,133,7,At Risk,France
CUST0192,18,10,2202.61,4,4,4,444,12,Champions,Canada
CUST0193,155,5,1332.75,2,3,3,233,8,At Risk,Uk
CUST0194,128,7,1971.08,2,4,4,244,10,At Risk,Canada
CUST0195,20,12,2154.79,4,5,4,454,13,Champions,Australia
CUST0196,40,5,2289.68,3,3,4,334,10,Loyal Customers,Uk
CUST0197,102,2,231.47,3,1,1,311,5,Promising,Uk
CUST0198,495,4,552.94,1,3,2,132,6,Needs Attention,Uk
CUST0199,142,6,1532.63,2,4,4,244,10,At Risk,Brazil
CUST0200,491,3,1082.27,1,2,3,123,6,Needs Attention,Usa
CUST0201,8,1,346.8,5,1,1,511,7,New Customers,Brazil
CUST0202,252,5,893.69,1,3,3,133,7,At Risk,Brazil
CUST0203,107,9,2571.91,2,4,4,244,10,At Risk,Australia
CUST0204,39,11,2510.18,3,5,4,354,12,Loyal Customers,Australia
CUST0205,108,2,662.9,2,1,2,212,5,Lost,Uk
CUST0206,10,2,654.51,5,1,2,512,8,New Customers,France
CUST0207,6,13,3504.34,5,5,5,555,15,Champions,Usa
CUST0208,5,17,4403.0,5,5,5,555,15,Champions,Usa
CUST0209,140,5,1373.85,2,3,3,233,8,At Risk,Australia
CUST0210,9,8,2196.85,5,4,4,544,13,Champions,Usa
CUST0211,447,3,292.71,1,2,1,121,4,Lost,France
CUST0212,13,15,3375.0,5,5,5,555,15,Champions,India
CUST0213,1,19,6387.68,5,5,5,555,15,Champions,Australia
CUST0214,53,10,3635.73,3,4,5,345,12,Loyal Customers,Australia
CUST0215,46,5,2279.87,3,3,4,334,10,Loyal Customers,Brazil
CUST0216,392,5,695.57,1,3,2,132,6,Needs Attention,France
CUST0217,60,5,612.92,3,3,2,332,8,Needs Attention,Australia
CUST0218,84,3,927.8,3,2,3,323,8,Needs Attention,Australia
CUST0219,14,9,2147.96,5,4,4,544,13,Champions,Canada
CUST0220,151,8,3252.44,2,4,5,245,11,At Risk,Brazil
CUST0221,143,10,3190.29,2,4,5,245,11,At Risk,France
CUST0222,20,2,655.18,4,1,2,412,7,New Customers,Uk
CUST0223,8,1,395.19,5,1,1,511,7,New Customers,Usa
CUST0224,4,2,253.8,5,1,1,511,7,New Customers,Brazil
CUST0225,8,11,2517.1,5,5,4,554,14,Champions,Germany
CUST0226,35,2,311.34,4,1,1,411,6,New Customers,Brazil
CUST0227,391,5,369.07,1,3,1,131,5,Needs Attention,Canada
CUST0228,2,18,4703.35,5,5,5,555,15,Champions,France
CUST0229,33,9,3116.55,4,4,5,445,13,Champions,Brazil
CUST0230,8,1,456.74,5,1,2,512,8,New Customers,India
CUST0231,127,3,542.79,2,2,2,222,6,Lost,France
CUST0232,152,10,2272.04,2,4,4,244,10,At Risk,Brazil
CUST0233,171,7,1762.57,1,4,4,144,9,At Risk,Brazil
CUST0234,25,1,95.71,4,1,1,411,6,New Customers,Australia
CUST0235,299,3,1390.38,1,2,3,123,6,Needs Attention,India
CUST0236,146,4,1157.01,2,3,3,233,8,At Risk,Australia
CUST0237,68,5,1012.94,3,3,3,333,9,Loyal Customers,Usa
CUST0238,5,25,6449.63,5,5,5,555,15,Champions,Germany
CUST0239,104,5,1147.99,3,3,3,333,9,Loyal Customers,Canada
CUST0240,15,15,3557.36,5,5,5,555,15,Champions,France
CUST0241,36,5,1198.83,4,3,3,433,10,Loyal Customers,India
CUST0242,405,3,217.36,1,2,1,121,4,Lost,Australia
CUST0243,21,1,204.44,4,1,1,411,6,New Customers,Germany
CUST0244,2,1,291.08,5,1,1,511,7,New Customers,Uk
CUST0245,2,24,9443.9,5,5,5,555,15,Champions,Germany
CUST0246,110,3,572.46,2,2,2,222,6,Lost,Uk
CUST0247,86,2,211.83,3,1,1,311,5,Promising,India
CUST0248,49,3,1893.5,3,2,4,324,9,Needs Attention,Australia
CUST0249,139,2,472.98,2,1,2,212,5,Lost,Brazil
CUST0250,9,16,4930.7,5,5,5,555,15,Champions,Uk
CUST0251,114,3,1460.24,2,2,4,224,8,Needs Attention,Germany
CUST0252,15,18,5216.95,5,5,5,555,15,Champions,Australia
CUST0253,117,3,548.53,2,2,2,222,6,Lost,France
CUST0254,68,3,1478.56,3,2,4,324,9,Needs Attention,Canada
CUST0255,144,5,994.16,2,3,3,233,8,At Risk,Canada
CUST0256,69,3,798.23,3,2,2,322,7,Promising,France
CUST0257,48,3,753.22,3,2,2,322,7,Promising,India
CUST0258,243,4,1460.09,1,3,3,133,7,At Risk,Uk
CUST0259,108,5,1110.29,2,3,3,233,8,At Risk,Usa
CUST0260,18,22,6113.99,4,5,5,455,14,Champions,Canada
CUST0261,426,5,2506.19,1,3,4,134,8,At Risk,India
CUST0262,99,4,1991.28,3,3,4,334,10,Loyal Customers,Germany
CUST0263,145,4,1079.87,2,3,3,233,8,At Risk,France
CUST0264,7,23,5859.09,5,5,5,555,15,Champions,France
CUST0265,117,11,1355.21,2,5,3,253,10,At Risk,India
CUST0266,254,5,2574.64,1,3,4,134,8,At Risk,Australia
CUST0267,5,11,2258.91,5,5,4,554,14,Champions,Germany
CUST0268,128,5,1490.81,2,3,4,234,9,At Risk,Australia
CUST0269,128,2,524.52,2,1,2,212,5,Lost,Brazil
CUST0270,114,3,330.23,2,2,1,221,5,Lost,Australia
CUST0271,499,5,1938.39,1,3,4,134,8,At Risk,Australia
CUST0272,143,4,1035.71,2,3,3,233,8,At Risk,Brazil
CUST0273,6,13,3496.26,5,5,5,555,15,Champions,India
CUST0274,120,11,2328.87,2,5,4,254,11,At Risk,Germany
CUST0275,8,8,2165.82,5,4,4,544,13,Champions,Australia
CUST0276,43,12,2084.59,3,5,4,354,12,Loyal Customers,India
CUST0277,178,4,1154.59,1,3,3,133,7,At Risk,Uk
CUST0278,214,2,711.6,1,1,2,112,4,Lost,France
CUST0279,18,1,539.44,4,1,2,412,7,New Customers,France
CUST0280,301,4,1089.67,1,3,3,133,7,At Risk,Usa
CUST0281,91,5,1595.35,3,3,4,334,10,Loyal Customers,Canada
CUST0282,108,4,1037.77,2,3,3,233,8,At Risk,Canada
CUST0283,405,2,147.99,1,1,1,111,3,Lost,Usa
CUST0284,268,3,690.21,1,2,2,122,5,Lost,Uk
CUST0285,13,1,12.36,5,1,1,511,7,New Customers,Usa
CUST0286,447,3,894.28,1,2,3,123,6,Needs Attention,Australia
CUST0287,477,5,876.87,1,3,2,132,6,Needs Attention,Brazil
CUST0288,7,24,5348.39,5,5,5,555,15,Champions,Brazil
CUST0289,11,24,7652.9,5,5,5,555,15,Champions,France
CUST0290,17,1,76.6,4,1,1,411,6,New Customers,Usa
CUST0291,136,3,1301.87,2,2,3,223,7,Needs Attention,Germany
CUST0292,93,4,401.93,3,3,1,331,7,Needs Attention,Uk
CUST0293,149,5,1262.71,2,3,3,233,8,At Risk,India
CUST0294,22,1,100.51,4,1,1,411,6,New Customers,France
CUST0295,15,2,136.44,5,1,1,511,7,New Customers,Brazil
CUST0296,102,4,575.38,3,3,2,332,8,Needs Attention,Canada
CUST0297,20,1,269.25,4,1,1,411,6,New Customers,Usa
CUST0298,140,10,4634.1,2,4,5,245,11,At Risk,Canada
CUST0299,66,5,1002.97,3,3,3,333,9,Loyal Customers,Germany
CUST0300,11,2,980.59,5,1,3,513,9,New Customers,Germany
CUST0301,18,28,7954.13,4,5,5,455,14,Champions,Australia
CUST0302,352,5,709.83,1,3,2,132,6,Needs Attention,Usa
CUST0303,3,1,200.31,5,1,1,511,7,New Customers,India
CUST0304,149,6,1535.14,2,4,4,244,10,At Risk,France
CUST0305,5,2,99.71,5,1,1,511,7,New Customers,Australia
CUST0306,412,3,183.73,1,2,1,121,4,Lost,Australia
CUST0307,129,5,676.19,2,3,2,232,7,Needs Attention,France
CUST0308,60,3,145.72,3,2,1,321,6,Promising,France
CUST0309,24,1,627.05,4,1,2,412,7,New Customers,Brazil
CUST0310,23,13,3497.6,4,5,5,455,14,Champions,Usa
CUST0311,160,11,2432.85,2,5,4,254,11,At Risk,Uk
CUST0312,58,2,198.84,3,1,1,311,5,Promising,Uk
CUST0313,59,2,733.01,3,1,2,312,6,Promising,Australia
CUST0314,29,2,414.9,4,1,1,411,6,New Customers,France
CUST0315,16,16,5978.22,5,5,5,555,15,Champions,Germany
CUST0316,18,2,448.69,4,1,1,411,6,New Customers,Usa
CUST0317,301,2,644.27,1,1,2,112,4,Lost,Brazil
CUST0318,395,5,485.69,1,3,2,132,6,Needs Attention,Brazil
CUST0319,46,5,1529.37,3,3,4,334,10,Loyal Customers,Brazil
CUST0320,93,9,1328.96,3,4,3,343,10,Loyal Customers,Canada
CUST0321,17,2,215.79,4,1,1,411,6,New Customers,Germany
CUST0322,458,4,1477.63,1,3,4,134,8,At Risk,India
CUST0323,127,3,686.41,2,2,2,222,6,Lost,Germany
CUST0324,429,2,280.2,1,1,1,111,3,Lost,Canada
CUST0325,18,18,2767.26,4,5,5,455,14,Champions,India
CUST0326,7,1,514.94,5,1,2,512,8,New Customers,India
CUST0327,167,11,2542.71,1,5,4,154,10,At Risk,Usa
CUST0328,2,1,139.38,5,1,1,511,7,New Customers,Uk
CUST0329,29,8,2420.79,4,4,4,444,12,Champions,Uk
CUST0330,457,5,808.72,1,3,2,132,6,Needs Attention,Germany
CUST0331,3,25,5888.19,5,5,5,555,15,Champions,Uk
CUST0332,127,7,1302.62,2,4,3,243,9,At Risk,France
CUST0333,16,25,5626.42,5,5,5,555,15,Champions,Canada
CUST0334,7,1,430.74,5,1,1,511,7,New Customers,India
CUST0335,108,2,394.66,2,1,1,211,4,Lost,Canada
CUST0336,58,2,441.52,3,1,1,311,5,Promising,Usa
CUST0337,122,11,2548.83,2,5,4,254,11,At Risk,Germany
CUST0338,17,10,3679.0,4,4,5,445,13,Champions,Usa
CUST0339,131,3,1072.14,2,2,3,223,7,Needs Attention,Brazil
CUST0340,93,3,622.64,3,2,2,322,7,Promising,India
CUST0341,8,2,74.36,5,1,1,511,7,New Customers,Australia
CUST0342,7,17,4911.31,5,5,5,555,15,Champions,Germany
CUST0343,7,14,5581.99,5,5,5,555,15,Champions,Usa
CUST0344,138,5,381.97,2,3,1,231,6,Needs Attention,Uk
CUST0345,19,12,2133.49,4,5,4,454,13,Champions,France
CUST0346,158,10,2543.66,2,4,4,244,10,At Risk,Canada
CUST0347,15,1,163.29,5,1,1,511,7,New Customers,India
CUST0348,37,10,2570.92,3,4,4,344,11,Loyal Customers,Australia
CUST0349,18,13,5047.57,4,5,5,455,14,Champions,France
CUST0350,11,21,5398.44,5,5,5,555,15,Champions,France
CUST0351,33,14,2402.19,4,5,4,454,13,Champions,Australia
CUST0352,221,3,158.18,1,2,1,121,4,Lost,Uk
CUST0353,28,1,112.87,4,1,1,411,6,New Customers,Canada
CUST0354,452,3,1177.12,1,2,3,123,6,Needs Attention,France
CUST0355,99,10,2550.82,3,4,4,344,11,Loyal Customers,France
CUST0356,445,5,1037.58,1,3,3,133,7,At Risk,Usa
CUST0357,26,14,5509.44,4,5,5,455,14,Champions,Canada
CUST0358,11,11,2560.3,5,5,4,554,14,Champions,Germany
CUST0359,131,5,1194.87,2,3,3,233,8,At Risk,Usa
CUST0360,68,5,1819.02,3,3,4,334,10,Loyal Customers,Canada
CUST0361,430,3,149.61,1,2,1,121,4,Lost,Brazil
CUST0362,97,4,907.12,3,3,3,333,9,Loyal Customers,Brazil
CUST0363,127,4,495.24,2,3,2,232,7,Needs Attention,Germany
CUST0364,34,2,897.49,4,1,3,413,8,New Customers,Brazil
CUST0365,94,6,1897.51,3,4,4,344,11,Loyal Customers,Usa
CUST0366,40,13,2762.32,3,5,5,355,13,Loyal Customers,India
CUST0367,450,5,1653.78,1,3,4,134,8,At Risk,Usa
CUST0368,34,4,555.19,4,3,2,432,9,Needs Attention,France
CUST0369,106,5,934.72,3,3,3,333,9,Loyal Customers,Uk
CUST0370,178,6,2035.81,1,4,4,144,9,At Risk,India
CUST0371,43,10,3612.1,3,4,5,345,12,Loyal Customers,Australia
CUST0372,25,1,64.14,4,1,1,411,6,New Customers,France
CUST0373,28,11,2129.9,4,5,4,454,13,Champions,Brazil
CUST0374,149,4,391.97,2,3,1,231,6,Needs Attention,Canada
CUST0375,37,2,593.08,3,1,2,312,6,Promising,Usa
CUST0376,109,4,1128.89,2,3,3,233,8,At Risk,Canada
CUST0377,421,2,355.32,1,1,1,111,3,Lost,Germany
CUST0378,143,7,1336.22,2,4,3,243,9,At Risk,India
CUST0379,2,1,276.42,5,1,1,511,7,New Customers,Usa
CUST0380,5,1,93.53,5,1,1,511,7,New Customers,Australia
CUST0381,37,2,464.15,3,1,2,312,6,Promising,Germany
CUST0382,19,16,3225.72,4,5,5,455,14,Champions,Germany
CUST0383,148,4,529.74,2,3,2,232,7,Needs Attention,Australia
CUST0384,11,1,387.62,5,1,1,511,7,New Customers,France
CUST0385,28,1,130.23,4,1,1,411,6,New Customers,France
CUST0386,53,5,1854.11,3,3,4,334,10,Loyal Customers,India
CUST0387,97,5,894.07,3,3,3,333,9,Loyal Customers,Brazil
CUST0388,145,5,1612.77,2,3,4,234,9,At Risk,Canada
CUST0389,108,10,3813.16,2,4,5,245,11,At Risk,Uk
CUST0390,43,5,2780.01,3,3,5,335,11,Loyal Customers,France
CUST0391,118,5,2081.08,2,3,4,234,9,At Risk,Australia
CUST0392,79,5,1156.03,3,3,3,333,9,Loyal Customers,Germany
CUST0393,25,1,330.55,4,1,1,411,6,New Customers,Canada
CUST0394,1,2,583.7,5,1,2,512,8,New Customers,Canada
CUST0395,38,4,1036.93,3,3,3,333,9,Loyal Customers,Germany
CUST0396,114,3,1221.42,2,2,3,223,7,Needs Attention,Usa
CUST0397,30,12,2672.31,4,5,4,454,13,Champions,Australia
CUST0398,336,4,1183.71,1,3,3,133,7,At Risk,Usa
CUST0399,106,7,1457.47,3,4,3,343,10,Loyal Customers,France
CUST0400,17,14,4168.22,4,5,5,455,14,Champions,Uk
CUST0401,390,3,421.95,1,2,1,121,4,Lost,France
CUST0402,110,5,694.48,2,3,2,232,7,Needs Attention,Canada
CUST0403,116,5,1359.14,2,3,3,233,8,At Risk,India
CUST0404,467,4,502.8,1,3,2,132,6,Needs Attention,Uk
CUST0405,122,9,1785.02,2,4,4,244,10,At Risk,Germany
CUST0406,15,18,5164.12,5,5,5,555,15,Champions,France
CUST0407,20,11,2405.38,4,5,4,454,13,Champions,Australia
CUST0408,83,4,752.5,3,3,2,332,8,Needs Attention,Brazil
CUST0409,223,2,1248.02,1,1,3,113,5,Needs Attention,Brazil
CUST0410,42,3,936.56,3,2,3,323,8,Needs Attention,France
CUST0411,142,5,1557.36,2,3,4,234,9,At Risk,France
CUST0412,51,2,220.96,3,1,1,311,5,Promising,India
CUST0413,409,4,724.23,1,3,2,132,6,Needs Attention,Germany
CUST0414,18,11,3017.14,4,5,5,455,14,Champions,Australia
CUST0415,119,3,641.27,2,2,2,222,6,Lost,Australia
CUST0416,151,5,1533.96,2,3,4,234,9,At Risk,France
